Sample in Buffer,Sample in Window,TRIGGER,audio_bd_i/system_ila_0/U0/probe0_1[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
508,508,0,138
509,509,0,138
510,510,0,138
511,511,0,138
512,512,1,138
513,513,0,138
514,514,0,138
515,515,0,138
516,516,0,138
517,517,0,138
518,518,0,138
519,519,0,138
520,520,0,138
521,521,0,138
522,522,0,138
523,523,0,138
524,524,0,138
525,525,0,138
526,526,0,138
527,527,0,138
528,528,0,138
529,529,0,138
530,530,0,138
531,531,0,138
532,532,0,138
533,533,0,138
534,534,0,138
535,535,0,138
536,536,0,138
537,537,0,138
538,538,0,138
539,539,0,138
540,540,0,138
541,541,0,138
542,542,0,138
543,543,0,138
544,544,0,138
545,545,0,138
546,546,0,138
547,547,0,138
548,548,0,138
549,549,0,138
550,550,0,138
551,551,0,138
552,552,0,138
553,553,0,138
554,554,0,138
555,555,0,138
556,556,0,138
557,557,0,138
558,558,0,138
559,559,0,138
560,560,0,138
561,561,0,138
562,562,0,138
563,563,0,138
564,564,0,138
565,565,0,138
566,566,0,138
567,567,0,138
568,568,0,138
569,569,0,138
570,570,0,138
571,571,0,138
572,572,0,138
573,573,0,138
574,574,0,138
575,575,0,138
576,576,0,138
577,577,0,138
578,578,0,138
579,579,0,138
580,580,0,138
581,581,0,138
582,582,0,138
583,583,0,138
584,584,0,138
585,585,0,138
586,586,0,138
587,587,0,138
588,588,0,138
589,589,0,138
590,590,0,138
591,591,0,138
592,592,0,138
593,593,0,138
594,594,0,138
595,595,0,138
596,596,0,138
597,597,0,138
598,598,0,138
599,599,0,138
600,600,0,138
601,601,0,138
602,602,0,138
603,603,0,138
604,604,0,138
605,605,0,138
606,606,0,138
607,607,0,138
608,608,0,138
609,609,0,138
610,610,0,138
611,611,0,138
612,612,0,138
613,613,0,138
614,614,0,138
615,615,0,138
616,616,0,138
617,617,0,138
618,618,0,138
619,619,0,138
620,620,0,138
621,621,0,138
622,622,0,138
623,623,0,138
624,624,0,138
625,625,0,138
626,626,0,138
627,627,0,138
628,628,0,138
629,629,0,138
630,630,0,138
631,631,0,138
632,632,0,138
633,633,0,138
634,634,0,138
635,635,0,138
636,636,0,138
637,637,0,138
638,638,0,138
639,639,0,138
640,640,0,138
641,641,0,138
642,642,0,138
643,643,0,138
644,644,0,138
645,645,0,138
646,646,0,138
647,647,0,138
648,648,0,138
649,649,0,138
650,650,0,138
651,651,0,138
652,652,0,138
653,653,0,138
654,654,0,138
655,655,0,138
656,656,0,138
657,657,0,138
658,658,0,138
659,659,0,138
660,660,0,138
661,661,0,138
662,662,0,138
663,663,0,138
664,664,0,138
665,665,0,138
666,666,0,138
667,667,0,138
668,668,0,138
669,669,0,138
670,670,0,138
671,671,0,138
672,672,0,138
673,673,0,138
674,674,0,138
675,675,0,138
676,676,0,138
677,677,0,138
678,678,0,138
679,679,0,138
680,680,0,138
681,681,0,138
682,682,0,138
683,683,0,138
684,684,0,138
685,685,0,138
686,686,0,138
687,687,0,138
688,688,0,138
689,689,0,138
690,690,0,138
691,691,0,138
692,692,0,138
693,693,0,138
694,694,0,138
695,695,0,138
696,696,0,138
697,697,0,138
698,698,0,138
699,699,0,138
700,700,0,138
701,701,0,138
702,702,0,138
703,703,0,138
704,704,0,138
705,705,0,138
706,706,0,138
707,707,0,138
708,708,0,138
